AtomNumarasi,Sembol,Isim,GrupNumarasi,PeriyotNumarasi,GrupTuru
1,H,Hidrojen,1A,1,Ametal
2,He,Helyum,8A,1,Soy Gaz
3,Li,Lityum,1A,2,Alkali Metal
4,Be,Berilyum,2A,2,Toprak Alkali Metal
5,B,Bor,3A,2,Yarı Metal
6,C,Karbon,4A,2,Ametal
7,N,Azot,5A,2,Ametal
8,O,Oksijen,6A,2,Ametal
9,F,Flor,7A,2,Halojen
10,Ne,Neon,8A,2,Soy Gaz
11,Na,Sodyum,1A,3,Alkali Metal
12,Mg,Magnezyum,2A,3,Toprak Alkali Metal
13,Al,Alüminyum,3A,3,Metal
14,Si,Silisyum,4A,3,Yarı Metal
15,P,Fosfor,5A,3,Ametal
16,S,Kükürt,6A,3,Ametal
17,Cl,Klor,7A,3,Halojen
18,Ar,Argon,8A,3,Soy Gaz
19,K,Potasyum,1A,4,Alkali Metal
20,Ca,Kalsiyum,2A,4,Toprak Alkali Metal
21,Sc,Skandiyum,3B,4,Geçiş Metali
22,Ti,Titanyum,4B,4,Geçiş Metali
23,V,Vanadyum,5B,4,Geçiş Metali
24,Cr,Krom,6B,4,Geçiş Metali
25,Mn,Mangan,7B,4,Geçiş Metali
26,Fe,Demir,8B,4,Geçiş Metali
27,Co,Kobalt,8B,4,Geçiş Metali
28,Ni,Nikel,8B,4,Geçiş Metali
29,Cu,Bakır,1B,4,Geçiş Metali
30,Zn,Çinko,2B,4,Geçiş Metali
31,Ga,Galyum,3A,4,Metal
32,Ge,Germanyum,4A,4,Yarı Metal
33,As,Arsenik,5A,4,Yarı Metal
34,Se,Selenyum,6A,4,Ametal
35,Br,Brom,7A,4,Halojen
36,Kr,Kripton,8A,4,Soy Gaz
37,Rb,Rubidyum,1A,5,Alkali Metal
38,Sr,Stronsiyum,2A,5,Toprak Alkali Metal
39,Y,İtriyum,3B,5,Geçiş Metali
40,Zr,Zirkonyum,4B,5,Geçiş Metali
41,Nb,Niyobyum,5B,5,Geçiş Metali
42,Mo,Molibden,6B,5,Geçiş Metali
43,Tc,Teknesyum,7B,5,Geçiş Metali
44,Ru,Rutenyum,8B,5,Geçiş Metali
45,Rh,Rodyum,8B,5,Geçiş Metali
46,Pd,Paladyum,8B,5,Geçiş Metali
47,Ag,Gümüş,1B,5,Geçiş Metali
48,Cd,Kadmiyum,2B,5,Geçiş Metali
49,In,İndiyum,3A,5,Metal
50,Sn,Kalay,4A,5,Metal
